x_over_width,top_y_over_width,underside_y_over_width,observed_not_interpolated
-0.22391653290529695,0.14103652678369763,-0.23864770041401367,1
-0.22231139646869985,0.14141820430565985,-0.2398597742990779,1
-0.22070626003210272,0.14160904306664096,-0.24005061306005904,1
-0.21910112359550563,0.1417998818276221,-0.2410718481841421,1
-0.2174959871589085,0.1419907205886032,-0.24126268694512323,1
-0.2158908507223114,0.14218155934958435,-0.2438776734762328,1
-0.21428571428571427,0.14237239811056546,-0.24406851223721393,1
-0.21268057784911718,0.1425632368715466,-0.24508974736129702,1
-0.21107544141252008,0.14275407563252768,-0.24508974736129702,1
-0.20947030497592295,0.14313575315448993,-0.24508974736129702,1
-0.20786516853932585,0.1433265919154711,-0.24611098248538016,1
-0.20626003210272872,0.14351743067645223,-0.24630182124636127,1
-0.20465489566613163,0.1437082694374333,-0.24732305637044436,1
-0.2030497592295345,0.14389910819841448,-0.24751389513142552,1
-0.2014446227929374,0.14408994695939556,-0.24872596901648972,1
-0.1998394863563403,0.1442807857203767,-0.24891680777747086,1
-0.19823434991974317,0.1444716244813578,-0.24993804290155391,1
-0.19662921348314608,0.14466246324233895,-0.25012888166253505,1
-0.19502407704654895,0.14485330200332006,-0.2511501167866182,1
-0.19341894060995185,0.1450441407643012,-0.2513409555475993,1
-0.19181380417335472,0.1452349795252823,-0.2523621906716824,1
-0.19020866773675763,0.14542581828626344,-0.2525530294326635,1
-0.18860353130016053,0.14561665704724455,-0.2537651033177278,1
-0.1869983948635634,0.1458074958082257,-0.254977177202792,1
-0.1853932584269663,0.14599833456920683,-0.254977177202792,1
-0.18378812199036917,0.1477829247372144,-0.254977177202792,1
-0.18218298555377208,0.14797376349819558,-0.25599841232687504,1
-0.18057784911717495,0.14816460225917666,-0.2561892510878562,1
-0.17897271268057785,0.14816460225917666,-0.2574013249729204,1
-0.17736757624398075,0.14714336713509354,-0.2586133988579846,1
-0.17576243980738362,0.14714336713509354,-0.2586133988579846,1
-0.17415730337078653,0.14733420589607465,-0.2586133988579846,1
-0.1725521669341894,0.1475250446570558,-0.2598254727430489,1
-0.1709470304975923,0.1477158834180369,-0.2598254727430489,1
-0.16934189406099517,0.14809756093999915,-0.2598254727430489,1
-0.16773675762439808,0.14950047358604454,-0.26084670786713193,1
-0.16613162118780098,0.1498821511080068,-0.2610375466281131,1
